Rank,Company,Owner,"TOTAL INCOME 
(INR Cr)","NET OPERATING INCOME 
(INR Cr)","PROFIT 
(INR Cr)","Profit as % 
of Revenue","INTEREST COST / AS % OF 
EBITDA","cash & bank balance 
(INR Cr)","total debt 
(INR Cr)","debt-equity 
ratio","TOTAL ASSETS 
(INR Cr)","NET WORTH 
(INR Cr)",RONW%,ROCE%,"EMPLOYEES 
(IN NOS.)","T12M AVG 
M-CAP 
(INR Cr)",TSR%
374+51,DCB Bank,Diversified,5836,5362,536,9.2%,3434,3066,55573,NAP,63107,4781,11.8%,0.9%,11325,4003,1%
375NEW,Care Health Insurance,Religare Group,5820,5740,305,5.2%,0,96,0,NAP,2198,2170,15.6%,20.9%,NAVL,NAP,NAP
376+66,Schwing Stetter India,MNC,5815,5396,107,1.8%,93,5,844,1.45,1460,582,19.7%,15.2%,NAVL,NAP,NAP
377NEW,Popular Vehicles & Services,Francis Kuttukaran Paul & family,5806,5616,76,1.3%,102,61,925,1.42,1610,653,15.3%,13.8%,1856,1614,-41.7%
378+7,Astral,Sandeep Engineer,5770,5641,546,9.5%,29,610,119,0.04,3393,3187,18.5%,25%,4558,53812,-9.2%
3790,Colgate-Palmolive,MNC,5736,5680,1324,23.1%,5,1374,72,0.04,1969,1874,73.7%,94.5%,2318,78795,28.7%
380-23,Sundram Fasteners,TVS-Suresh Krishna,5736,5666,522,9.1%,32,35,647,0.19,4111,3421,16.3%,18.5%,2043,26343,-4.5%
381-83,Triveni Engineering,Dhruv Sawhney,5708,5220,395,6.9%,56,78,1424,0.49,4370,2901,14.2%,14.6%,1026,8289,1.7%
382+88,Gland Pharma,MNC,5707,5665,772,13.5%,26,1839,372,0.04,9274,8724,9.3%,13.4%,4217,30351,9.9%
383-6,IFB Industries,Bijon Nag,5662,5653,50,0.9%,31,111,164,0.23,989,718,6.2%,8.8%,2112,6105,55.6%
384NEW,API Holdings,"Siddharth Bhaskar Shah, Dhaval Shah",5617,5664,-2550,NAP,731,1610,4219,1.93,6819,2189,NAP,0%,NAVL,NAP,NAP
385-34,Godawari Power & Ispat,B.L. Agrawal,5589,5455,935,16.7%,60,870,52,0.01,4614,4496,22.3%,29.9%,3442,12018,39.1%
386-113,Oberoi Realty,Vikas Oberoi,5550,4496,1927,34.7%,218,767,2495,0.18,16663,13844,14.8%,16.3%,1024,59441,42.5%
387-1,Avanti Feeds,Indra Kumar Alluri,5535,5369,357,6.5%,3,737,17,0.01,2718,2365,17.7%,23.9%,755,7585,54.5%
388-78,Sterlite Technologies,Anil Agarwal,5534,5478,-51,NAP,369,403,3376,1.67,5428,2023,NAP,4.8%,2178,6040,-24.1%
389-34,Maharashtra Seamless,D.P. Jindal,5510,5404,951,17.3%,8,56,0,0,5799,5727,18.1%,22.6%,1060,10519,-32.7%
390+27,Tamilnad Mercantile Bank,Diversified,5493,4848,1072,19.5%,2697,3568,50816,NAP,61552,7921,14.4%,1.8%,4602,7560,-14.5%
391R-E ‘21,Poonawalla Fincorp,Adar Cyrus Poonwalla,5488,5418,1683,30.7%,950,269,15216,NAP,23383,8167,13.9%,10.8%,2384,33100,-1.6%
392-79,Alok Industries,Mukesh Ambani & JM Financial,5436,5510,-847,NAP,596,217,22473,NAP,6278,-19776,NAP,0%,22245,13145,-2.4%
393+29,H.G. Infra Engineering,"Harendra Singh, Vijendra Singh, Girishpal Singh trusts",5415,5378,539,10%,217,207,1513,0.62,4058,2455,24.6%,24.2%,4848,8185,36.7%
394+16,Birlasoft,C.K. Birla Group,5382,5278,624,11.6%,20,425,93,0.03,3215,3044,22.7%,29.4%,10351,18757,-11.2%
395-25,Supreme Petrochem,Rajan Raheja Group,5382,5307,346,6.4%,10,520,114,0.06,2145,2019,17.9%,23.8%,420,13415,24.2%
396-52,Shipping Corporation of India,Govt of India,5330,5047,679,12.7%,171,1314,2914,0.39,10513,7540,9.4%,8.1%,519,10633,57.8%
397+7,Redington,Diversified,5329,5652,1219,22.9%,517,1621,2958,0.39,11017,7549,17.1%,19.8%,1817,15344,22.6%
398NEW,Ola Electric Mobility,Bhavish Aggarwal,5324,5010,-1584,NAP,187,1663,2710,NAP,4904,-954,NAP,0%,959,44142,-24.4%
399-16,Blue Dart Express,MNC,5319,5268,301,5.7%,78,166,1073,0.78,2442,1367,23.6%,19.8%,12541,17355,9.4%
400R-E ‘22,Fertilizers & Chemicals Travancore,Govt of India,5309,5055,146,2.8%,247,2679,1810,1.32,3358,1376,29.4%,16%,681,53911,14%
401-124,GMR Power & Urban Infra,G.M. Rao family,5300,4489,-103,NAP,1479,682,13876,NAP,12134,-2917,NAP,0%,863,5383,153.7%
402+18,Finolex Cables,Chhabria family,5281,5014,652,12.3%,2,98,18,0,4976,4946,14%,18.5%,958,18693,23.1%
403+70,JBM Auto,S.K. Arya,5257,5009,179,3.4%,197,67,2127,1.82,3364,1168,17.6%,14.5%,3097,21746,16.1%
404+17,Ratnamani Metals & Tubes,Prakash Sanghvi,5242,5059,623,11.9%,45,207,153,0.05,3468,3141,21.8%,27.5%,1316,23705,-0.5%
405-6,HL Mando Anand India,"Anand group, Mando Corp",5239,5188,338,6.5%,23,631,217,0.15,1738,1489,24.8%,29.1%,NAVL,NAP,NAP
406-70,Mukand,Niraj Bajaj,5237,5175,103,2%,131,53,1483,1.61,2463,921,11.6%,10.6%,670,2401,-23.5%
407+21,Hitachi Energy India,MNC,5224,5237,164,3.1%,57,128,214,0.16,1578,1360,12.7%,17.8%,2375,40372,146%
408-58,India Cements,N Srinivasan,5177,5112,-227,NAP,244,84,2618,0.51,8871,5143,NAP,-0.8%,1875,8691,63.1%
409+88,CreditAccess Grameen,MNC,5173,5119,1446,28%,1738,1314,21841,NAP,28411,6570,24.8%,14.8%,19395,22065,-45.6%
410-5,Castrol India,MNC,5169,5075,864,16.7%,8,1200,77,0.04,2222,2122,43.1%,56.9%,570,20703,46.2%
411-69,Laurus Labs,Satyanarayana Chava,5168,5041,161,3.1%,183,142,2577,0.63,6935,4111,4.1%,6.3%,5753,23367,31.8%
412+14,Narayana Hrudayalaya,Devi Shetty,5132,5018,789,15.4%,112,416,1627,0.56,4749,2884,31.5%,25%,11659,25632,3.5%
413-35,Bayer CropScience,MNC,5130,5103,741,14.4%,20,1164,47,0.02,3022,2849,26.6%,32.3%,1317,26736,6.8%
414-52,Tamil Nadu Newsprint & Papers,Govt of Tamil Nadu,5115,4895,208,4.1%,223,48,1801,0.86,4098,2090,10.3%,13.6%,855,1762,-37.4%
415-21,Hinduja Global Solutions,Hinduja Group,5088,4616,133,2.6%,188,881,2107,0.28,9818,7488,1.3%,2.5%,11338,4033,-28.7%
416NEW,Swan Energy,Nikhil V. Merchant,5063,5017,301,6%,226,1320,3449,0.55,11780,6279,13.7%,9.5%,137,18083,27.1%
417-17,Zensar Technologies,RPG Group,5061,4902,665,13.1%,21,724,187,0.05,3858,3562,20.3%,24.9%,10349,14730,32.8%
418-27,AIA Engineering,Bhadresh Shah,5021,4854,1136,22.6%,33,554,461,0.07,7146,6658,18.4%,22.8%,1355,37364,-1.8%
419R-E ‘22,Tata Hitachi Construction Machinery Co.,Tata Group,5001,4875,240,4.8%,62,75,369,0.31,1707,1182,22.6%,23.2%,NAVL,NAP,NAP
420+24,Time Technoplast,"Vageria, Jain families",4986,4993,310,6.2%,101,153,829,0.33,3446,2550,13.1%,16.3%,2380,6535,114%
421-7,Wheels India,TVS-S. Viji,4974,4977,63,1.3%,123,5,778,0.93,1636,840,7.4%,12.2%,2760,1723,4%
422NEW,HMA Agro Industries,Gulzar Ahmad family,4974,4813,101,2%,17,115,492,0.69,1233,717,16.9%,14.8%,302,2905,-39.1%
423NEW,Indian Renewable Energy Development Agency,Govt of India,4965,4965,1252,25.2%,3164,736,49687,NAP,58246,8559,17.3%,9.3%,174,49269,212.6%
424R-E ‘21,KPIT Technologies,Diversified*,4945,4872,595,12%,55,771,329,0.15,2698,2146,31.5%,34.6%,8980,43327,-18%
425+37,V-Guard Industries,K. Chittilappilly,4939,4857,258,5.2%,40,57,401,0.22,2232,1814,15.1%,17.3%,3006,16473,36.9%
426NEW,Rajasthan Rajya Vidyut Prasaran Nigam,Govt of Rajasthan,4931,4575,-1421,NAP,1072,189,12316,4.77,17667,2583,NAP,0%,NAVL,NAP,NAP
427+24,J Kumar Infraprojects,Jagadishkumar Gupta,4908,4879,331,6.7%,124,504,593,0.22,3398,2644,13.2%,17.7%,7335,5230,58.3%
428+30,Shankara Building Products,Sukumar Srinivas,4880,4828,81,1.7%,32,34,87,0.11,884,798,11.3%,17.4%,881,1570,-14.9%
429+31,Steel Strips Wheels,Dheeraj Garg,4862,4357,675,13.9%,103,43,1048,0.77,2544,1355,21.4%,17.4%,2181,3687,-29%
430R-E ‘22,JM Financial,Nimesh Kampani,4832,4786,410,8.5%,1562,5444,16228,NAP,27284,8491,0.7%,11.3%,300,9688,58.9%
431+43,Godfrey Phillips India,K.K. Modi Group,4828,4455,883,18.3%,26,25,344,0.08,4610,4232,19%,22.1%,969,21143,191.9%
432NEW,Tata Advanced Systems,Tata Group,4827,4793,177,3.7%,349,159,3713,1.32,7151,2812,4.6%,6.7%,NAVL,NAP,NAP
433R-E ‘22,USV,Leena Gandhi Tewari,4825,4553,1377,28.6%,3,123,0,0,5484,5298,28.1%,35.2%,NAVL,NAP,NAP
434-28,Carborundum Universal,Murugappa Group,4822,4702,461,9.6%,18,558,172,0.05,3507,3126,16%,20.4%,1007,26410,33.2%
435-34,LMW,Jayavarthanavelu family,4811,4696,374,7.8%,0,955,0,0,2926,2704,14.8%,17.2%,2333,16421,18%
436+19,Sun TV Network,Kalanithi Maran,4797,4282,1925,40.1%,9,401,38,0,10590,10536,19.5%,26.3%,1394,28224,9.2%
437NEW,Ageas Federal Life Insurance Co.,Ageas group,4792,4785,107,2.2%,0,107,0,NAP,17564,1165,9.4%,0.8%,NAVL,NAP,NAP
438-80,Nagarjuna Fertilizers & Chemicals,Nagarjuna Group,4776,4765,-1284,NAP,479,30,3261,NAP,-21,-3352,NAP,0%,813,677,10.8%
439-2,Patel Engineering,Rupen Patel,4753,4544,290,6.1%,362,339,1910,0.61,6320,3149,7.5%,11%,4580,4861,2.4%
440-87,Zuari Agro Chemicals,K.K. Birla Group,4750,4595,100,2.1%,211,389,1783,1.05,4095,1694,4.6%,8.7%,NAVL,838,40%
441+24,Saraswat Co-operative Bank,Diversified,4749,3960,503,10.6%,2591,5765,51284,NAP,65420,5405,9.6%,0.8%,NAVL,NAP,NAP
442R-E ‘18,Senco Gold,Suvankar Sen family,4741,4233,181,3.8%,121,551,1761,1.29,3136,1366,15.8%,13.5%,2366,7444,57.6%
443-28,Gujarat Ambuja Exports,Manish Kumar Gupta,4722,4610,346,7.3%,18,19,199,0.07,2993,2769,13.3%,16.5%,1371,7226,-33.1%
444-13,Granules India,K.P. Chigurupati,4698,4506,405,8.6%,106,386,1315,0.41,4579,3226,13.4%,15.2%,4057,11869,44.7%
445-58,Konkan Railway Corporation,Govt of India,4692,4462,314,6.7%,272,367,3971,1.96,7149,2022,6.3%,6.1%,NAVL,NAP,NAP
446R-E ‘11,Lucas - TVS,TVS,4686,4571,150,3.2%,18,67,288,0.16,2244,1767,11.2%,14.6%,NAVL,NAP,NAP
447+37,Jana Small Finance Bank,Diversified,4684,4013,670,14.3%,1886,2054,27783,NAP,32710,3577,10.8%,2.3%,21800,5784,11.3%
448-7,SKF India,MNC,4679,4570,552,11.8%,1,1222,12,0,2731,2683,22%,28.8%,1202,25252,-2.8%
449-46,HFCL,Mahendra Nahata,4669,4465,330,7.1%,147,336,991,0.25,5039,3956,9.6%,13.3%,2114,15865,88.4%
450-82,Atul,Sunil Lalbhai,4644,4726,323,7%,11,72,237,0.05,5436,5114,6.6%,9.1%,3255,20073,9.8%
451-8,Minda Corporation,Ashok Minda,4637,4651,227,4.9%,57,192,535,0.27,2567,1976,12.6%,14.9%,1846,10909,43.9%
452-57,West Coast Paper Mills,S.K. Bangur,4628,4448,692,15%,24,43,276,0.09,4234,3242,27%,32.5%,1004,4246,-22.4%
453NEW,Craftsman Automation,Srinivasan Ravi,4620,4452,304,6.6%,175,83,1755,1.06,3509,1658,22.2%,20.5%,2500,11234,-10.8%
454-22,Kajaria Ceramics,A.K. Kajaria,4610,4578,422,9.2%,21,514,239,0.09,2919,2617,17.5%,21.9%,2545,21075,-9.6%
455-84,Tata International,Tata,4604,4647,-213,NAP,527,828,3349,22.19,3545,151,NAP,0%,NAVL,NAP,NAP
456-2,KNR Constructions,Narasimha Reddy,4593,4429,777,16.9%,106,411,1262,0.36,4799,3554,23.8%,25.4%,2488,8456,11.8%
457-12,Bharti Axa Life Insurance Company,"Bharti, Axa",4591,4356,-146,NAP,0,150,110,NAP,15838,496,NAP,0%,NAVL,NAP,NAP
458-62,Century Textiles & Industries,B.K. Birla Group,4580,4514,51,1.1%,36,402,2502,0.63,7125,3979,1.5%,7.8%,7708,22122,107.9%
459-20,Finolex Industries,Chhabria family,4576,4317,474,10.4%,36,32,394,0.07,6105,5634,9%,11.8%,1313,16764,30.6%
460-30,Shoppers Stop,K Raheja,4559,4317,77,1.7%,225,17,2785,9.24,3086,301,7.4%,9.1%,8385,8160,-6.5%
461-97,Bajaj Electricals,Bajaj Group,4547,4641,131,2.9%,63,275,215,0.15,1718,1441,7.8%,12.2%,1958,11257,-22.2%
462-26,Adani Total Gas,Adani Group,4537,4475,668,14.7%,111,456,1557,0.43,5154,3580,20.5%,21.1%,508,99048,26.1%
463R-E ‘20,Vindhya Telelinks,Sanjay Lalbhai,4531,4087,283,6.2%,88,171,493,0.13,4472,3753,8.1%,11.4%,2600,2826,-16.6%
464-126,Gujarat Fluorochemicals,Vivek Jain,4514,4281,435,9.6%,133,198,2096,0.35,8098,5936,7.6%,9.6%,1895,38745,42.9%
465-100,Page Industries,Sunder Genomal,4506,4825,569,12.6%,45,321,185,0.12,1787,1597,38.4%,44.9%,19461,43276,19.8%
466+6,Kesoram Industries,B.K. Birla Group,4495,4419,-384,NAP,489,184,2230,23.51,2477,95,NAP,0%,1009,5825,80.1%
467NEW,Shriram Life Insurance Company,Shriram Group,4460,4368,158,3.5%,0,305,0,NAP,11852,881,18.9%,2.2%,NAVL,NAP,NAP
468-93,Jindal Poly Films,Bhavesh Jindal,4460,3926,72,1.6%,173,116,2655,0.66,9654,3994,1.7%,2.8%,273,2909,30.9%
469+17,IRCTC,Govt of India,4443,4270,1111,25%,19,2278,60,0.02,3478,3230,38.9%,48.9%,2726,74605,14.7%
470-47,Birla Carbon India,Aditya Birla Group,4428,4145,446,10.1%,6,191,0,0,3399,3371,13.9%,19.2%,NAVL,NAP,NAP
471-14,Asahi India Glass,MNC,4376,4341,328,7.5%,136,179,1968,0.84,4333,2353,14.7%,14.7%,1923,15023,15.6%
472-48,Arvind Fashions,Sanjay Lalbhai,4361,4259,81,1.9%,156,168,1148,1.14,2488,1003,6.7%,9.5%,171,6548,35.2%
473-26,Filatex India,M.S. Bhageria,4347,4286,111,2.6%,30,41,233,0.19,1478,1204,9.6%,12.4%,1063,2593,23.5%
474NEW,Howe Engineering Projects India,Ashwin Modi,4341,4226,250,5.8%,69,61,0,0,500,471,72.5%,49.2%,NAVL,NAP,NAP
475NEW,Niva Bupa Health Insurance Co.,MNC,4335,4116,82,1.9%,0,143,250,NAP,2301,2050,3.4%,3.1%,NAVL,13386,-2%
476+3,Ajanta Pharma,Rajesh Agrawal,4333,4209,816,18.8%,7,131,35,0.01,3646,3567,23.5%,31.6%,7844,31062,49.6%
477-50,Tata Play,Tata,4327,4305,-354,NAP,389,71,2135,NAP,3383,-855,NAP,0%,NAVL,NAP,NAP
478R-E ‘22,Electrotherm,Mukesh Bhandari,4291,4272,317,7.4%,60,62,1770,NAP,1014,-781,NAP,21.8%,2431,856,549.7%
479NEW,Angel One,Dinesh D. Thakkar,4280,4272,1126,26.3%,137,9844,2541,NAP,5580,3039,43.3%,38.7%,3663,24376,-10.7%
480-17,Gallantt Ispat,C.P. Agarwal,4270,4227,225,5.3%,28,12,462,0.19,2927,2451,9.6%,11.9%,417,6460,215.7%
481-29,Himadri Speciality Chemical,Sadashiv K Shetty,4264,4185,411,9.6%,64,731,605,0.2,3657,3046,15.4%,18.8%,920,19830,94.3%
482R-E ‘22,Tetra-Pak India,MNC,4261,4375,293,6.9%,38,75,260,0.46,855,568,55.9%,42.2%,NAVL,NAP,NAP
483NEW,ESAF Small Finance Bank,ESAF,4260,3818,426,10%,1449,1423,23090,NAP,26087,2492,20.2%,1.8%,5967,2937,-43.7%
484+7,Power Mech Projects,Sajja Babu & Sajja Lakshmi,4231,4207,248,5.9%,94,480,396,0.22,2506,1838,16%,21.5%,4681,8390,23.2%
485-26,3M India,MNC,4219,4189,583,13.8%,3,1358,18,0.01,2198,2147,30.5%,39.8%,935,37873,5.6%
486+8,Honeywell Automation India,MNC,4199,4058,501,11.9%,9,2823,60,0.02,3687,3606,14.8%,19.7%,3096,40208,13.1%
487NEW,Remedium Lifecare,Siddharth Chimanlal Shah,4189,4042,33,0.8%,5,2,58,1.34,101,43,122.8%,99.5%,NAVL,781,-76.2%
488R-E ‘22,Radico Khaitan,L.K. Khaitan,4188,4119,262,6.3%,60,101,818,0.34,3258,2440,11.3%,13.1%,1469,23808,55.2%
489-21,RSWM,L.N. Jhunjhunwala family,4179,4058,-21,NAP,97,8,1890,1.46,3211,1297,NAP,-0.5%,18622,962,-2.7%
490R-E ‘22,Prime Focus,Naresh Malhotra,4167,3951,-405,NAP,558,142,4859,9.42,5793,516,NAP,0%,NAVL,3644,15%
491NEW,Prithvi Exchange India,Ashok Kumar Kavad,4163,4161,13,0.3%,1,22,1,NAP,45,43,35.1%,45.4%,203,232,192.3%
492NEW,Transrail Lighting,Digambar Chunilal Bagde,4163,4074,233,5.6%,246,224,643,0.56,1862,1139,24.2%,34%,NAVL,NAP,NAP
493-11,Kirloskar Brothers,Kirloskar Group,4161,4001,348,8.4%,26,293,192,0.11,2036,1719,21.8%,26.3%,1594,11858,124.7%
494-19,BEML,Govt of India,4149,4054,282,6.8%,42,9,71,0.03,3620,2668,11.1%,11.7%,1870,15097,65.4%
495-19,Transport Corporation of India,D.P. Agarwal,4146,4024,351,8.5%,13,96,194,0.1,2239,2004,19.1%,20%,4728,7260,29.7%
496R-E ‘22,Cochin Shipyard,Govt of India,4140,3830,783,18.9%,46,3864,502,0.1,5551,5003,16.6%,21.1%,805,37837,140.1%
497-30,Strides Pharma Science,Arun Kumar,4130,4051,-71,NAP,314,191,2517,1.18,4694,2126,NAP,0%,2364,8910,179.6%
498-6,Route Mobile,S.K. & R.K. Gupta,4129,4023,375,9.1%,30,757,378,0.18,2611,2150,19.6%,20.7%,492,9921,-9.6%
499NEW,Gandhar Oil Refinery India,Ramesh Babulal Parekh & family,4126,4113,141,3.4%,59,277,271,0.23,1499,1172,17.3%,22.3%,381,2240,-30.9%
500-98,Jubilant Ingrevia,Jubilant Bhartia Group,4118,4136,183,4.4%,53,80,740,0.27,3543,2737,6.8%,9.6%,1959,8939,54.2%
